product_name,price,brand
General Purpose Trigger,554.49,Skyba
Trueblue - Blueberry,177.67,Gevee
"Nut - Peanut, Roasted",181.51,Bubblemix
Sugar - Crumb,291.14,Yamia
Appetizer - Cheese Bites,261.52,Dabvine
Mayonnaise - Individual Pkg,668.46,Quimba
Syrup - Chocolate,659.63,Bubblebox
Chinese Lemon Pork,324.74,Realpoint
Squid U5 - Thailand,888.17,Yambee
Danishes - Mini Cheese,884.76,Pixonyx
Sambuca - Opal Nera,134.94,Devcast
"Sauce - Gravy, Au Jus, Mix",59.07,Bluejam
Icecream - Dstk Cml And Fdg,983.15,Voolith
"Beans - Black Bean, Canned",334.62,Mudo
"Plate - Foam, Bread And Butter",628.24,Bluezoom
Sprouts - Baby Pea Tendrils,652.24,Gabtype
"Flour - Buckwheat, Dark",846.85,Blogspan
Wine - Vineland Estate Semi - Dry,921.94,Yodo
Soup - Cream Of Potato / Leek,900.3,Dabvine
Cookie - Oreo 100x2,59.2,Jetpulse
Tomato - Green,832.03,Jamia
"Nut - Almond, Blanched, Ground",163.68,Youbridge
Temperature Recording Station,726.32,InnoZ
Soup - Boston Clam Chowder,29.22,Yodoo
Pepper - Pablano,837.42,Vinder
Wine - Vovray Sec Domaine Huet,843.97,Devcast
"Cherries - Maraschino,jar",724.77,Ooba
Foil - 4oz Custard Cup,970.66,Skipfire
Flax Seed,602.65,Camimbo
Pork - Bones,345.65,Oyondu
Sauce - Fish 25 Ozf Bottle,138.12,Innojam
Pear - Prickly,751.95,Oyonder
Energy - Boo - Koo,518.86,Abata
Galliano,917.41,Tagtune
Watercress,267.48,JumpXS
Spaghetti Squash,474.43,Oloo
Duck - Fat,878.06,Jaloo
Irish Cream - Baileys,617.55,Quinu
Compound - Rum,925.22,Feedmix
Browning Caramel Glace,450.24,Twitterbridge
Cake - Mini Potato Pancake,312.69,Photobug
Oil - Peanut,90.36,Zazio
Bay Leaf Ground,243.55,Realmix
Sauce - Caesar Dressing,59.41,Demizz
Garbag Bags - Black,275.97,Aimbo
Paper - Brown Paper Mini Cups,956.15,Kazio
Cheese - Cheddar With Claret,84.74,Wordtune
"Club Soda - Schweppes, 355 Ml",617.07,Katz
Sugar - Cubes,349.28,Kamba
Beef - Tender Tips,97.93,Jazzy
Sachet,218.69,Aimbu
Jagermeister,755.03,Demivee
Dikon,849.71,Thoughtbeat
Hersey Shakes,884.86,Midel
Wine - White Cab Sauv.on,652.21,Yakitri
Cheese - Marble,450.05,Thoughtblab
Soup - Campbells Bean Medley,698.92,Nlounge
Cake - Sheet Strawberry,306.65,Kaymbo
Syrup - Monin - Blue Curacao,865.8,Tagfeed
Tomato Puree,819.41,Quatz
Tomatoes - Roma,444.04,Yabox
Tea Leaves - Oolong,115.36,Riffwire
Carbonated Water - Peach,329.51,Innojam
Couscous,13.93,Tazzy
Island Oasis - Lemonade,915.0,Jamia
"Juice - Grapefruit, 341 Ml",708.98,Wikibox
Plasticspoonblack,211.45,Skinix
Muffin Hinge 117n,142.77,Quimm
Bread - English Muffin,516.52,Voonyx
Cheese - Brie,403.87,Eayo
"Red Snapper - Fillet, Skin On",260.93,Blogtag
